,Tournament,Date,Series,Court,Surface,Round,Best of,source,Score,Sets,Power_Rating,target,Rank_Source,Rank_Target,Pts_Source,Pts_Target,Odd_Source,Odd_Target
47712,Brisbane International,01/01/2018,ATP250,Outdoor,Hard,1st Round,3,Harrison R.,6-4 3-6 6-2   ,3,4,Mayer L.,47,52,1010,909,1.61,2.2
47713,Brisbane International,01/01/2018,ATP250,Outdoor,Hard,1st Round,3,Ebden M.,3-6 2-6    ,2,2,Tiafoe F.,76,79,670,662,2.5,1.5
47714,Brisbane International,01/01/2018,ATP250,Outdoor,Hard,1st Round,3,Zverev M.,6-4 7-5    ,2,2,Smith J.P.,33,218,1302,235,1.4,2.75
47715,Brisbane International,01/01/2018,ATP250,Outdoor,Hard,1st Round,3,Zeballos H.,3-6 4-6    ,2,2,Escobedo E.,66,120,768,498,2.2,1.61
47716,Brisbane International,01/01/2018,ATP250,Outdoor,Hard,1st Round,3,Donaldson J.,6-2 6-4    ,2,2,Thompson J.,54,94,890,593,1.83,1.83
47717,Brisbane International,02/01/2018,ATP250,Outdoor,Hard,1st Round,3,Mmoh M.,3-6 4-6    ,2,2,Delbonis F.,175,67,299,755,1.66,2.1
47718,Brisbane International,02/01/2018,ATP250,Outdoor,Hard,1st Round,3,Chung H.,6-3 7-6    ,2,2,Muller G.,58,25,844,1695,1.53,2.37
47719,Brisbane International,02/01/2018,ATP250,Outdoor,Hard,1st Round,3,Edmund K.,7-6 6-7 4-6   ,3,4,Shapovalov D.,50,51,992,981,1.72,2.0
47720,Brisbane International,02/01/2018,ATP250,Outdoor,Hard,1st Round,3,Istomin D.,6-7 6-3 6-2   ,3,4,Dzumhur D.,63,30,809,1391,2.62,1.44
47721,Brisbane International,02/01/2018,ATP250,Outdoor,Hard,1st Round,3,Millman J.,6-7 0-6    ,2,2,Polansky P.,128,137,436,404,1.33,3.25
47722,Brisbane International,03/01/2018,ATP250,Outdoor,Hard,2nd Round,3,Dolgopolov O.,6-1 6-2    ,2,2,Zeballos H.,169,66,315,768,1.33,3.25
47723,Brisbane International,03/01/2018,ATP250,Outdoor,Hard,2nd Round,3,Kyrgios N.,7-6 6-7 2-6   ,3,4,Ebden M.,21,76,2010,670,1.14,5.5
47724,Brisbane International,03/01/2018,ATP250,Outdoor,Hard,2nd Round,3,Mmoh M.,6-2 5-7 6-4   ,3,4,Zverev M.,175,33,299,1302,2.37,1.53
47725,Brisbane International,03/01/2018,ATP250,Outdoor,Hard,2nd Round,3,De Minaur A.,4-6 4-6    ,2,2,Raonic M.,209,24,245,1795,4.0,1.22
47726,Brisbane International,04/01/2018,ATP250,Outdoor,Hard,2nd Round,3,Istomin D.,7-6 6-2    ,2,2,Donaldson J.,63,54,809,890,1.9,1.8
47727,Brisbane International,04/01/2018,ATP250,Outdoor,Hard,2nd Round,3,Harrison R.,7-6 4-6 2-6   ,3,4,Hanfmann Y.,47,119,1010,499,1.36,3.0
47728,Brisbane International,04/01/2018,ATP250,Outdoor,Hard,2nd Round,3,Edmund K.,7-6 5-7 6-4   ,3,4,Chung H.,50,58,992,844,2.0,1.72
47729,Brisbane International,04/01/2018,ATP250,Outdoor,Hard,2nd Round,3,Dimitrov G.,6-4 6-7 3-6   ,3,4,Millman J.,3,128,5150,436,1.16,5.0
47730,Brisbane International,05/01/2018,ATP250,Outdoor,Hard,Quarterfinals,3,De Minaur A.,6-4 6-0    ,2,2,Mmoh M.,209,175,245,299,1.72,2.1
47731,Brisbane International,05/01/2018,ATP250,Outdoor,Hard,Quarterfinals,3,Kyrgios N.,6-1 3-6 4-6   ,3,4,Dolgopolov O.,21,169,2010,315,1.44,2.75
47732,Brisbane International,05/01/2018,ATP250,Outdoor,Hard,Quarterfinals,3,Dimitrov G.,6-3 6-7 6-4   ,3,4,Edmund K.,3,50,5150,992,1.36,3.25
47733,Brisbane International,06/01/2018,ATP250,Outdoor,Hard,Semifinals,3,Harrison R.,6-4 6-7 4-6   ,3,4,De Minaur A.,47,209,1010,245,1.66,2.2
47734,Brisbane International,06/01/2018,ATP250,Outdoor,Hard,Semifinals,3,Kyrgios N.,3-6 6-1 6-4   ,3,4,Dimitrov G.,21,3,2010,5150,2.0,1.8
47735,Brisbane International,07/01/2018,ATP250,Outdoor,Hard,The Final,3,Kyrgios N.,4-6 2-6    ,2,2,Harrison R.,21,47,2010,1010,1.2,4.5
47736,Qatar Exxon Mobil Open,01/01/2018,ATP250,Outdoor,Hard,1st Round,3,Verdasco F.,4-6 6-4 6-0   ,3,4,Sela D.,35,68,1295,755,1.36,3.0
47737,Qatar Exxon Mobil Open,01/01/2018,ATP250,Outdoor,Hard,1st Round,3,Thiem D.,6-7 3-6    ,2,2,Donskoy E.,5,72,4015,704,1.2,4.33
47738,Qatar Exxon Mobil Open,01/01/2018,ATP250,Outdoor,Hard,1st Round,3,Basilashvili N.,6-4 6-3    ,2,2,Fabbiano T.,59,73,826,701,1.57,2.25
47739,Qatar Exxon Mobil Open,01/01/2018,ATP250,Outdoor,Hard,1st Round,3,Tsitsipas S.,6-4 5-7 4-6   ,3,4,Mayer F.,91,69,606,718,1.53,2.37
47740,Qatar Exxon Mobil Open,02/01/2018,ATP250,Outdoor,Hard,1st Round,3,Coric B.,5-7 6-2 7-6   ,3,4,Carreno Busta P.,48,10,1001,2615,1.72,2.0
47741,Qatar Exxon Mobil Open,02/01/2018,ATP250,Outdoor,Hard,1st Round,3,Basic M.,4-6 3-6    ,2,2,Haider-Maurer A.,138,451,399,81,1.22,4.0
47742,Qatar Exxon Mobil Open,02/01/2018,ATP250,Outdoor,Hard,1st Round,3,Lopez F.,6-4 5-7 7-6   ,3,4,Garcia-Lopez G.,36,70,1295,714,1.53,2.37
47743,Qatar Exxon Mobil Open,02/01/2018,ATP250,Outdoor,Hard,1st Round,3,Gojowczyk P.,4-6 1-6    ,2,2,Krajinovic F.,60,34,817,1298,2.2,1.61
47744,Qatar Exxon Mobil Open,02/01/2018,ATP250,Outdoor,Hard,1st Round,3,Bedene A.,7-5 6-1    ,2,2,Jaziri M.,49,98,993,580,1.53,2.37
47745,Qatar Exxon Mobil Open,02/01/2018,ATP250,Outdoor,Hard,1st Round,3,Berrettini M.,6-4 6-7 4-6   ,3,4,Troicki V.,135,55,410,880,2.25,1.57
47746,Qatar Exxon Mobil Open,02/01/2018,ATP250,Outdoor,Hard,1st Round,3,Struff J.L.,6-4 1-6 7-6   ,3,4,Berdych T.,53,19,898,2095,3.25,1.33
47747,Qatar Exxon Mobil Open,02/01/2018,ATP250,Outdoor,Hard,1st Round,3,Gasquet R.,0-6 2-6    ,2,2,Estrella Burgos V.,31,83,1375,648,1.12,6.0
47748,Qatar Exxon Mobil Open,02/01/2018,ATP250,Outdoor,Hard,1st Round,3,Pella G.,2-6 7-5 7-5   ,3,4,Ramos-Vinolas A.,64,23,774,1845,1.83,1.83
47749,Qatar Exxon Mobil Open,02/01/2018,ATP250,Outdoor,Hard,1st Round,3,Monfils G.,3-6 6-3 4-6   ,3,4,Lorenzi P.,46,43,1015,1095,1.22,4.0
47750,Qatar Exxon Mobil Open,03/01/2018,ATP250,Outdoor,Hard,2nd Round,3,Coric B.,6-1 6-3    ,2,2,Basilashvili N.,48,59,1001,826,1.4,2.75
47751,Qatar Exxon Mobil Open,03/01/2018,ATP250,Outdoor,Hard,2nd Round,3,Basic M.,4-6 6-7    ,2,2,Lopez F.,138,36,399,1295,2.75,1.4
47752,Qatar Exxon Mobil Open,03/01/2018,ATP250,Outdoor,Hard,2nd Round,3,Rublev A.,6-4 3-6 6-4   ,3,4,Verdasco F.,39,35,1229,1295,2.2,1.61
47753,Qatar Exxon Mobil Open,03/01/2018,ATP250,Outdoor,Hard,2nd Round,3,Gojowczyk P.,2-6 2-6    ,2,2,Berrettini M.,60,135,817,410,1.61,2.2
47754,Qatar Exxon Mobil Open,03/01/2018,ATP250,Outdoor,Hard,2nd Round,3,Thiem D.,7-5 6-4    ,2,2,Bedene A.,5,49,4015,993,1.28,3.5
