,Tournament,Date,Series,Court,Surface,Round,Best of,source,Score,Sets,Power_Rating,target,Rank_Source,Rank_Target,Pts_Source,Pts_Target,Odd_Source,Odd_Target
52777,Qatar Exxon Mobil Open,06/01/2020,ATP250,Outdoor,Hard,1st Round,3,Bublik A.,3-6 4-6    ,2,2,Mannarino A.,55,43,919,1111,2.0,1.72
52778,Qatar Exxon Mobil Open,06/01/2020,ATP250,Outdoor,Hard,1st Round,3,Moutet C.,7-6 6-4    ,2,2,Sandgren T.,81,68,638,803,1.57,2.25
52779,Qatar Exxon Mobil Open,06/01/2020,ATP250,Outdoor,Hard,1st Round,3,Verdasco F.,4-6 3-6    ,2,2,Andujar P.,49,64,1025,867,1.25,3.75
52780,Qatar Exxon Mobil Open,06/01/2020,ATP250,Outdoor,Hard,1st Round,3,Bedene A.,3-6 6-4 6-3   ,3,4,Ymer M.,58,76,905,681,1.83,1.83
52781,Qatar Exxon Mobil Open,06/01/2020,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,3-6 6-3 3-6   ,3,4,Barrere G.,54,83,920,636,1.5,2.5
52782,Qatar Exxon Mobil Open,06/01/2020,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,6-4 6-2    ,2,2,Thompson J.,62,63,881,878,1.66,2.1
52783,Qatar Exxon Mobil Open,06/01/2020,ATP250,Outdoor,Hard,1st Round,3,Krajinovic F.,6-4 3-6 3-6   ,3,4,Edmund K.,40,69,1148,800,1.83,1.83
52784,Qatar Exxon Mobil Open,07/01/2020,ATP250,Outdoor,Hard,1st Round,3,Djere L.,6-1 3-6 6-2   ,3,4,Sonego L.,39,51,1151,990,3.0,1.36
52785,Qatar Exxon Mobil Open,07/01/2020,ATP250,Outdoor,Hard,1st Round,3,Fucsovics M.,4-6 6-4 4-6   ,3,4,Tiafoe F.,70,47,790,1050,2.0,1.72
52786,Qatar Exxon Mobil Open,07/01/2020,ATP250,Outdoor,Hard,1st Round,3,Ilkel C.,6-2 4-6 6-2   ,3,4,Berankis R.,279,67,144,804,3.5,1.28
52787,Qatar Exxon Mobil Open,07/01/2020,ATP250,Outdoor,Hard,1st Round,3,Kukushkin M.,0-6 3-6    ,2,2,Jaziri M.,66,229,816,206,1.28,3.5
52788,Qatar Exxon Mobil Open,07/01/2020,ATP250,Outdoor,Hard,1st Round,3,Herbert P.H.,6-3 6-4    ,2,2,Cecchinato M.,65,75,840,690,1.53,2.37
52789,Qatar Exxon Mobil Open,07/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Bedene A.,3-6 5-7    ,2,2,Bublik A.,58,55,905,919,1.66,2.1
52790,Qatar Exxon Mobil Open,07/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Wawrinka S.,6-3 6-4    ,2,2,Chardy J.,15,54,1955,920,1.3,3.4
52791,Qatar Exxon Mobil Open,08/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Rublev A.,4-6 2-6    ,2,2,Kukushkin M.,23,66,1584,816,1.3,3.4
52792,Qatar Exxon Mobil Open,08/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Fucsovics M.,6-1 6-4    ,2,2,Ilkel C.,70,279,790,144,1.16,5.0
52793,Qatar Exxon Mobil Open,08/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Verdasco F.,5-7 6-4 0-6   ,3,4,Krajinovic F.,49,40,1025,1148,2.25,1.57
52794,Qatar Exxon Mobil Open,08/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Herbert P.H.,6-1 6-3    ,2,2,Djere L.,65,39,840,1151,1.44,2.62
52795,Qatar Exxon Mobil Open,08/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Kecmanovic M.,6-7 1-6    ,2,2,Tsonga J.W.,62,30,881,1340,2.1,1.66
52796,Qatar Exxon Mobil Open,08/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Moutet C.,7-6 7-6    ,2,2,Raonic M.,81,32,638,1305,2.75,1.4
52797,Qatar Exxon Mobil Open,09/01/2020,ATP250,Outdoor,Hard,Quarterfinals,3,Kecmanovic M.,2-6 0-6    ,2,2,Fucsovics M.,62,70,881,790,1.61,2.3
52798,Qatar Exxon Mobil Open,10/01/2020,ATP250,Outdoor,Hard,Quarterfinals,3,Rublev A.,6-4 6-3    ,2,2,Herbert P.H.,23,65,1584,840,1.25,4.0
